ts_code,name,benchmark,found_date,amount
159289.SZ,创业板综指ETF鹏华,创业板综合指数收益率,20250903,3752.929
159298.SZ,创业板50ETF大成,创业板50指数收益率,20250829,5714.252
159103.SZ,金融科技ETF汇添富,中证金融科技主题指数收益率,20250829,11724.015
561680.SH,A500红利低波ETF平安,中证A500红利低波动指数收益率,20250827,2187.26
589820.SH,科创200ETF建信,上证科创板200指数收益率,20250827,23855.149
159296.SZ,A500红利低波ETF华宝,中证A500红利低波动指数收益率,20250827,4127.134
588550.SH,科创综指增强ETF易方达,上证科创板综合指数收益率,20250827,3516.211
508082.SH,中金唯品会奥莱REIT,,20250827,4858.903
589020.SH,科创半导体设备ETF鹏华,上证科创板半导体材料设备主题指数收益率,20250827,114858.362
159101.SZ,港股通科技ETF华夏,经估值汇率调整后的国证港股通科技指数收益率,20250826,471485.716
589560.SH,科创人工智能ETF汇添富,上证科创板人工智能指数收益率,20250825,69008.434
563320.SH,通用航空ETF华泰柏瑞,中证通用航空主题指数收益率,20250825,60182.715
560770.SH,机器人ETF招商,中证机器人指数收益率,20250821,43951.433
159291.SZ,创业板综增强ETF招商,创业板综合指数收益率,20250820,573.49
159259.SZ,成长ETF易方达,国证成长100指数收益率,20250820,337762.168
530530.SH,上证580ETF华夏,上证580指数收益率,20250820,2338.466
588690.SH,科创增强ETF银华,上证科创板综合指数收益率,20250820,6271.604
159500.SZ,中证500ETF富国,中证500指数收益率,20250820,13793.909
159281.SZ,港股通央企红利ETF天弘,中证港股通央企红利指数收益率(经估值汇率调整),20250820,31520.915
159292.SZ,创业板综增强ETF华宝,创业板综合指数收益率,20250820,788.982
159286.SZ,港股通创新药ETF鹏华,国证港股通创新药指数收益率(经汇率调整后),20250820,58923.251
159287.SZ,创业板综ETF博时,创业板综合指数收益率,20250815,10077.616
520840.SH,港股通恒生科技ETF华安,恒生港股通科技主题指数收益率(经汇率调整),20250814,109674.993
159369.SZ,创业板50ETF易方达,创业板50指数收益率,20250813,14579.616
159283.SZ,通用航空ETF南方,中证通用航空主题指数收益率,20250813,13873.735
589090.SH,科创AIETF鹏华,上证科创板人工智能指数收益率,20250813,31247.171
520620.SH,恒生消费ETF嘉实,经估值汇率调整后的恒生消费指数收益率,20250811,22396.622
512370.SH,A500增强ETF华夏,中证A500指数收益率,20250806,714.225
